TEAMFGM,TEAMFGA,TEAMFG%,TEAM3PM,TEAM3PA,TEAM3P%,TEAMFTM,TEAMFTA,TEAMFT%,TEAMORB,TEAMDRB,TEAMTRB,TEAMAST,TEAMSTL,TEAMBLK,TEAMPF,TEAMTO,OPPTFGM,OPPTFGA,OPPTFG%,OPPT3PM,OPPT3PA,OPPT3P%,OPPTFTM,OPPTFTA,OPPTFT%,OPPTORB,OPPTDRB,OPPTTRB,OPPTAST,OPPTSTL,OPPTBLK,OPPTPF,OPPTTO
32,90,0.3556,8,32,0.25,12,20,0.6,18,21,39,26,11,10,19,13,36,74.5,0.48295,5.5,13.5,0.4093,20,24.5,0.81545,6.5,32,38.5,23,6.5,3,20.5,17
35,80.5,0.436,6,18.5,0.36185,13.5,21.5,0.64005,11.5,37.5,49,20.5,4,7.5,16,19,33,86.5,0.3822,4.5,16.5,0.2702,13,16,0.8125,11,30.5,41.5,15.5,8.5,4.5,31.5,16.5
38,75,0.50455,7.5,18,0.425,18.5,22.5,0.82935,6,32.5,38.5,21.5,6,5,19,14.5,32.5,86,0.378,5.5,22,0.2457,11.5,19,0.5606,15.5,34,49.5,20.5,7,5,19.5,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,91,0.3626,6,17,0.3529,16,19,0.8421,15,27,42,18,12,8,18,10
38.5,74,0.5277,3,9.5,0.3111,24,31.5,0.76215,9.5,34,43.5,27.5,7.5,7,20,17.5,36,80.5,0.44715,4.5,15.5,0.2962,15,18.5,0.77795,10.5,32,42.5,24.5,7,5,18,13.5
38.5,84.5,0.45795,9,28.5,0.31855,21,26,0.8006,17.5,34,51.5,25,10,2.5,21,20.5,37,86,0.4328,9,23,0.3981,21,26,0.80655,10.5,26.5,37,18,7,2.5,22.5,12
36,85,0.42355,8,18.5,0.41665,16.5,22,0.7543,8.5,31.5,40,21,8.5,5,28.5,14,31,85,0.3647,7,19,0.3684,21,24,0.875,10,31,41,18,10,9,23,11
40,86,0.4651,8,18,0.4444,11,12,0.9167,11,35,46,26,12,5,17,19,34,79,0.4304,7.5,20,0.375,14.5,24.5,0.60015,14.5,29,43.5,22.5,7,3,23,19
36.5,79.5,0.459,5.5,19.5,0.2816,14,21,0.67065,8,33,41,24.5,9,6,21,14.5,36.5,87,0.4194,8,21,0.39285,18.5,27,0.61905,18,34.5,52.5,21.5,8.5,7,23,14.5
38,79,0.48295,6.5,18.5,0.34845,20.5,28,0.73375,8.5,29.5,38,24.5,12,6.5,26.5,17,34.5,83,0.41685,7.5,18.5,0.39705,14,20,0.7008,13,29.5,42.5,20,7,4,22,18.5
36,84,0.4286,19,36,0.5278,13,15,0.8667,13,28,41,27,10,0,22,14,30,85,0.3529,7,25,0.28,17,21,0.8095,14,33,47,18,13,11,14,16
42,86,0.4884,5,15,0.3333,13,18,0.7222,11,35,46,24,8,8,24,13,36,86,0.4174,3,16,0.18615,13.5,18,0.7435,13,35,48,15.5,8,8.5,21.5,16
35,86.5,0.4069,6.5,17.5,0.3709,17.5,22,0.80105,12.5,27,39.5,20.5,10,6.5,24.5,12,32,87,0.3678,2,17,0.1176,26,36,0.7222,17,36,53,17,4,10,17,11
34,76.5,0.4449,6,13,0.4837,21,27.5,0.77245,10,37.5,47.5,18,4,7.5,21,15,40,85,0.4706,7,22,0.3182,15,17,0.8824,7,29,36,23,12,4,26,13
36,72.33333,0.49783,6,15.66667,0.3709,19.33333,30.33333,0.63797,12.33333,30.66667,43,20,6.33333,4.66667,24.33333,19.66667,36,84.5,0.42705,5,14.5,0.34135,15.5,22.5,0.67405,10,27.5,37.5,20.5,7,4.5,17,13
32,82,0.39165,7.5,21,0.3753,12.5,15.5,0.80475,12,32,44,16,10.5,6.5,16,17,37.5,80.5,0.46755,15,31.5,0.4676,12,16.5,0.7389,10.5,29.5,40,22.5,11,2.5,16,14.5
39.66667,77.66667,0.50907,8.33333,20.33333,0.41667,20,24,0.83687,6.33333,30,36.33333,23,7,6,18,12.33333,37,87.66667,0.42113,3.66667,17,0.21183,12.66667,18,0.69937,14.33333,32.66667,47,16.66667,6.33333,9,20,16
37,81,0.4568,6,15,0.4,27,37,0.7297,9,32,41,20,6,5,19,17,30.5,75.5,0.41045,4,16.5,0.2463,24,33.5,0.71595,12.5,32,44.5,17.5,6,9,17,17.5
34,81.5,0.4191,4,13.5,0.3022,26,32,0.81175,13,29,42,23,11.5,4,23.5,17.5,37,83.66667,0.4441,7,18.33333,0.3901,18.66667,25.33333,0.70057,15,30.66667,45.66667,20,9.33333,7,22.66667,15.33333
38.33333,77.66667,0.4952,6,17.33333,0.36723,15.66667,21.66667,0.72247,7.66667,30.66667,38.33333,26,8.66667,6,20,15.66667,36.33333,86.66667,0.42197,5.33333,19.66667,0.30183,17,23.33333,0.723,14.66667,40.33333,55,19,6,9.66667,17,20.66667
40.33333,83.33333,0.48653,10.66667,20.66667,0.4911,15,19.66667,0.76953,8.33333,32.66667,41,24.33333,7.66667,5.66667,26.66667,16.66667,37.66667,88.33333,0.42833,9.33333,23.33333,0.4043,16.33333,21.33333,0.73213,10.33333,32,42.33333,21.33333,8.33333,4.33333,21,13.33333
34.33333,91.66667,0.3757,5.66667,18.33333,0.30133,14,17.33333,0.80833,12.66667,30.66667,43.33333,16.66667,10.66667,7.33333,29.66667,16.33333,36.66667,83.33333,0.4406,6.33333,17.66667,0.34803,18.66667,26.33333,0.7065,14,30.33333,44.33333,20.66667,7,3.33333,26,17
35.33333,76,0.46483,7.66667,19.33333,0.39103,27,36,0.74557,8,28.33333,36.33333,23.33333,10,6,28,16.66667,35.66667,80.33333,0.44357,7,18.66667,0.375,15.66667,26,0.607,12.66667,30.33333,43,21.33333,7.66667,2,22.33333,18
35.33333,78.66667,0.46163,3,12,0.26623,23,29.33333,0.7881,11.33333,31.33333,42.66667,25.33333,8.66667,6.66667,20,15.66667,43.5,89,0.48875,7,13,0.57575,14.5,18.5,0.78215,12,34,46,25,7.5,4.5,20.5,12
33.66667,74.66667,0.45153,7,16,0.45883,20.66667,25.66667,0.818,9,35,44,21,4,8,21,17,36.66667,87.66667,0.4194,7.66667,18.66667,0.406,16.66667,20.33333,0.82817,13.66667,25.66667,39.33333,19.66667,9.66667,5.33333,24.33333,11.66667
38,89,0.42393,5.33333,21.66667,0.24317,12,19.33333,0.5904,16.33333,32.33333,48.66667,18,6.33333,4.33333,20,17,33.33333,82.66667,0.40283,4.66667,14,0.33013,16.66667,22.66667,0.72473,11,25,36,20,6.33333,4.66667,18,14.33333
